# x_m,y_m,w_tr_right_m,w_tr_left_m
1.3668,-3.9115,0.1250,0.1250
1.3768,-3.9115,0.1250,0.1250
1.3868,-3.9115,0.1250,0.1250
1.3968,-3.9115,0.1250,0.1250
1.4068,-3.9115,0.1250,0.1250
1.4168,-3.9115,0.1250,0.1250
1.4268,-3.9115,0.1250,0.1250
1.4368,-3.9115,0.1250,0.1250
1.4468,-3.9115,0.1250,0.1250
1.4568,-3.9115,0.1250,0.1250
1.4668,-3.9115,0.1250,0.1250
1.4768,-3.9115,0.1250,0.1250
1.4868,-3.9015,0.1250,0.1250
1.4968,-3.9015,0.1250,0.1250
1.5068,-3.9015,0.1250,0.1250
1.5168,-3.9015,0.1250,0.1250
1.5268,-3.9015,0.1250,0.1250
1.5368,-3.9015,0.1250,0.1250
1.5468,-3.8915,0.1250,0.1250
1.5568,-3.8915,0.1250,0.1250
1.5668,-3.8915,0.1250,0.1250
1.5768,-3.8915,0.1250,0.1250
1.5868,-3.8815,0.1250,0.1250
1.5968,-3.8815,0.1250,0.1250
1.6068,-3.8815,0.1250,0.1250
1.6168,-3.8715,0.1250,0.1250
1.6268,-3.8715,0.1250,0.1250
1.6368,-3.8615,0.1250,0.1250
1.6468,-3.8615,0.1250,0.1250
1.6568,-3.8515,0.1250,0.1250
1.6668,-3.8515,0.1250,0.1250
1.6768,-3.8415,0.1250,0.1250
1.6868,-3.8415,0.1250,0.1250
1.6968,-3.8315,0.1250,0.1250
1.7068,-3.8215,0.1250,0.1250
1.7168,-3.8215,0.1250,0.1250
1.7268,-3.8115,0.1250,0.1250
1.7368,-3.8015,0.1250,0.1250
1.7468,-3.7915,0.1250,0.1250
1.7568,-3.7815,0.1250,0.1250
1.7668,-3.7715,0.1250,0.1250
1.7768,-3.7615,0.1250,0.1250
1.7868,-3.7515,0.1250,0.1250
1.7968,-3.7515,0.1250,0.1250
1.8068,-3.7415,0.1250,0.1250
1.8168,-3.7315,0.1250,0.1250
1.8268,-3.7215,0.1250,0.1250
1.8368,-3.7115,0.1250,0.1250
1.8468,-3.7015,0.1250,0.1250
1.8568,-3.6915,0.1250,0.1250
1.8668,-3.6815,0.1250,0.1250
1.8768,-3.6715,0.1250,0.1250
1.8868,-3.6615,0.1250,0.1250
1.8868,-3.6515,0.1250,0.1250
1.8968,-3.6415,0.1250,0.1250
1.9068,-3.6315,0.1250,0.1250
1.9168,-3.6215,0.1250,0.1250
1.9268,-3.6115,0.1250,0.1250
1.9368,-3.6015,0.1250,0.1250
1.9468,-3.5915,0.1250,0.1250
1.9568,-3.5815,0.1250,0.1250
1.9668,-3.5715,0.1250,0.1250
1.9768,-3.5615,0.1250,0.1250
1.9868,-3.5515,0.1250,0.1250
1.9968,-3.5415,0.1250,0.1250
1.9968,-3.5315,0.1250,0.1250
2.0068,-3.5215,0.1250,0.1250
2.0168,-3.5115,0.1250,0.1250
2.0268,-3.5015,0.1250,0.1250
2.0268,-3.4915,0.1250,0.1250
2.0368,-3.4815,0.1250,0.1250
2.0468,-3.4715,0.1250,0.1250
2.0568,-3.4615,0.1250,0.1250
2.0668,-3.4515,0.1250,0.1250
2.0768,-3.4415,0.1250,0.1250
2.0768,-3.4315,0.1250,0.1250
2.0868,-3.4215,0.1250,0.1250
2.0968,-3.4115,0.1250,0.1250
2.1068,-3.4015,0.1250,0.1250
2.1068,-3.3915,0.1250,0.1250
2.1168,-3.3815,0.1250,0.1250
2.1168,-3.3715,0.1250,0.1250
2.1268,-3.3615,0.1250,0.1250
2.1268,-3.3515,0.1250,0.1250
2.1368,-3.3415,0.1250,0.1250
2.1368,-3.3315,0.1250,0.1250
2.1468,-3.3215,0.1250,0.1250
2.1568,-3.3115,0.1250,0.1250
2.1568,-3.3015,0.1250,0.1250
2.1668,-3.2915,0.1250,0.1250
2.1668,-3.2815,0.1250,0.1250
2.1768,-3.2715,0.1250,0.1250
2.1768,-3.2615,0.1250,0.1250
2.1868,-3.2515,0.1250,0.1250
2.1868,-3.2415,0.1250,0.1250
2.1968,-3.2315,0.1250,0.1250
2.1968,-3.2215,0.1250,0.1250
2.2068,-3.2115,0.1250,0.1250
2.2068,-3.2015,0.1250,0.1250
2.2168,-3.1915,0.1250,0.1250
2.2168,-3.1815,0.1250,0.1250
2.2168,-3.1715,0.1250,0.1250
2.2268,-3.1615,0.1250,0.1250
2.2268,-3.1515,0.1250,0.1250
2.2268,-3.1415,0.1250,0.1250
2.2268,-3.1315,0.1250,0.1250
2.2268,-3.1215,0.1250,0.1250
2.2368,-3.1115,0.1250,0.1250
2.2368,-3.1015,0.1250,0.1250
2.2368,-3.0915,0.1250,0.1250
2.2368,-3.0815,0.1250,0.1250
2.2368,-3.0715,0.1250,0.1250
2.2368,-3.0615,0.1250,0.1250
2.2368,-3.0515,0.1250,0.1250
2.2368,-3.0415,0.1250,0.1250
2.2368,-3.0315,0.1250,0.1250
2.2368,-3.0215,0.1250,0.1250
2.2368,-3.0115,0.1250,0.1250
2.2368,-3.0015,0.1250,0.1250
2.2368,-2.9915,0.1250,0.1250
2.2268,-2.9815,0.1250,0.1250
2.2268,-2.9715,0.1250,0.1250
2.2268,-2.9615,0.1250,0.1250
2.2268,-2.9515,0.1250,0.1250
2.2268,-2.9415,0.1250,0.1250
2.2268,-2.9315,0.1250,0.1250
2.2268,-2.9215,0.1250,0.1250
2.2268,-2.9115,0.1250,0.1250
2.2268,-2.9015,0.1250,0.1250
2.2268,-2.8915,0.1250,0.1250
2.2268,-2.8815,0.1250,0.1250
2.2168,-2.8715,0.1250,0.1250
2.2168,-2.8615,0.1250,0.1250
2.2168,-2.8515,0.1250,0.1250
2.2168,-2.8415,0.1250,0.1250
2.2168,-2.8315,0.1250,0.1250
2.2168,-2.8215,0.1250,0.1250
2.2168,-2.8115,0.1250,0.1250
2.2168,-2.8015,0.1250,0.1250
2.2068,-2.7915,0.1250,0.1250
2.2068,-2.7815,0.1250,0.1250
2.2068,-2.7715,0.1250,0.1250
2.1968,-2.7615,0.1250,0.1250
2.1968,-2.7515,0.1250,0.1250
2.1968,-2.7415,0.1250,0.1250
2.1968,-2.7315,0.1250,0.1250
2.1868,-2.7215,0.1250,0.1250
2.1868,-2.7115,0.1250,0.1250
2.1868,-2.7015,0.1250,0.1250
2.1768,-2.6915,0.1250,0.1250
2.1768,-2.6815,0.1250,0.1250
2.1668,-2.6715,0.1250,0.1250
2.1568,-2.6615,0.1250,0.1250
2.1568,-2.6515,0.1250,0.1250
2.1468,-2.6415,0.1250,0.1250
2.1468,-2.6315,0.1250,0.1250
2.1368,-2.6215,0.1250,0.1250
2.1268,-2.6115,0.1250,0.1250
2.1168,-2.6015,0.1250,0.1250
