x_m,y_m,w_tr_right_m,w_tr_left_m
0.0668,-3.6615,0.2477,0.2477
0.0768,-3.6615,0.2497,0.2497
0.0868,-3.6615,0.2517,0.2517
0.0968,-3.6715,0.2477,0.2477
0.1068,-3.6715,0.2497,0.2497
0.1168,-3.6715,0.2517,0.2517
0.1268,-3.6715,0.2517,0.2517
0.1368,-3.6815,0.2497,0.2497
0.1468,-3.6815,0.2517,0.2517
0.1568,-3.6815,0.2517,0.2517
0.1668,-3.6815,0.2497,0.2497
0.1768,-3.6815,0.2477,0.2477
0.1868,-3.6915,0.2517,0.2517
0.1968,-3.6915,0.2497,0.2497
0.2068,-3.6915,0.2477,0.2477
0.2168,-3.6915,0.2458,0.2458
0.2268,-3.7015,0.2517,0.2517
0.2368,-3.7015,0.2497,0.2497
0.2468,-3.7015,0.2477,0.2477
0.2568,-3.7115,0.2557,0.2557
0.2668,-3.7115,0.2538,0.2538
0.2768,-3.7115,0.2517,0.2517
0.2868,-3.7215,0.2517,0.2517
0.2968,-3.7215,0.2538,0.2538
0.3068,-3.7215,0.2558,0.2558
0.3168,-3.7215,0.2538,0.2538
0.3268,-3.7315,0.2497,0.2497
0.3368,-3.7315,0.2517,0.2517
0.3468,-3.7315,0.2538,0.2538
0.3568,-3.7415,0.2458,0.2458
0.3668,-3.7415,0.2477,0.2477
0.3768,-3.7415,0.2497,0.2497
0.3868,-3.7415,0.2517,0.2517
0.3968,-3.7515,0.2438,0.2438
0.4068,-3.7515,0.2458,0.2458
0.4168,-3.7515,0.2477,0.2477
0.4268,-3.7515,0.2497,0.2497
0.4368,-3.7515,0.2517,0.2517
0.4468,-3.7615,0.2458,0.2458
0.4568,-3.7615,0.2477,0.2477
0.4668,-3.7615,0.2497,0.2497
0.4768,-3.7615,0.2517,0.2517
0.4868,-3.7615,0.2517,0.2517
0.4968,-3.7715,0.2497,0.2497
0.5068,-3.7715,0.2517,0.2517
0.5168,-3.7715,0.2557,0.2557
0.5268,-3.7715,0.2517,0.2517
0.5368,-3.7715,0.2497,0.2497
0.5468,-3.7815,0.2557,0.2557
0.5568,-3.7815,0.2558,0.2558
0.5668,-3.7815,0.2538,0.2538
0.5768,-3.7815,0.2517,0.2517
0.5868,-3.7815,0.2497,0.2497
0.5968,-3.7915,0.2558,0.2558
0.6068,-3.7915,0.2558,0.2558
0.6168,-3.7915,0.2538,0.2538
0.6268,-3.7915,0.2517,0.2517
0.6368,-3.7915,0.2497,0.2497
0.6468,-3.7915,0.2477,0.2477
0.6568,-3.8015,0.2558,0.2558
0.6668,-3.8015,0.2538,0.2538
0.6768,-3.8015,0.2518,0.2518
0.6868,-3.8015,0.2498,0.2498
0.6968,-3.8115,0.2579,0.2579
0.7068,-3.8115,0.2559,0.2559
0.7168,-3.8115,0.2539,0.2539
0.7268,-3.8115,0.2520,0.2520
0.7368,-3.8115,0.2500,0.2500
0.7468,-3.8115,0.2498,0.2498
0.7568,-3.8115,0.2479,0.2479
0.7668,-3.8215,0.2559,0.2559
0.7768,-3.8215,0.2539,0.2539
0.7868,-3.8215,0.2520,0.2520
0.7968,-3.8215,0.2500,0.2500
0.8068,-3.8315,0.2600,0.2600
0.8168,-3.8315,0.2600,0.2600
0.8268,-3.8315,0.2600,0.2600
0.8368,-3.8315,0.2600,0.2600
0.8468,-3.8415,0.2698,0.2698
0.8568,-3.8415,0.2679,0.2679
0.8668,-3.8415,0.2659,0.2659
0.8768,-3.8415,0.2639,0.2639
0.8868,-3.8415,0.2620,0.2620
0.8968,-3.8515,0.2700,0.2700
0.9068,-3.8515,0.2700,0.2700
0.9168,-3.8515,0.2700,0.2700
0.9268,-3.8515,0.2700,0.2700
0.9368,-3.8515,0.2697,0.2697
0.9468,-3.8515,0.2677,0.2677
0.9568,-3.8615,0.2758,0.2758
0.9668,-3.8615,0.2738,0.2738
0.9768,-3.8715,0.2818,0.2818
0.9868,-3.8715,0.2798,0.2798
0.9968,-3.8715,0.2779,0.2779
1.0068,-3.8715,0.2759,0.2759
1.0168,-3.8715,0.2739,0.2739
1.0268,-3.8715,0.2720,0.2720
1.0368,-3.8715,0.2700,0.2700
1.0468,-3.8815,0.2800,0.2800
1.0568,-3.8815,0.2800,0.2800
1.0668,-3.8815,0.2800,0.2800
1.0768,-3.8815,0.2800,0.2800
1.0868,-3.8815,0.2800,0.2800
1.0968,-3.8915,0.2800,0.2800
1.1068,-3.8915,0.2800,0.2800
1.1168,-3.8915,0.2800,0.2800
1.1268,-3.8915,0.2800,0.2800
1.1368,-3.8915,0.2800,0.2800
1.1468,-3.8915,0.2800,0.2800
1.1568,-3.8915,0.2800,0.2800
1.1668,-3.8915,0.2800,0.2800
1.1768,-3.8915,0.2800,0.2800
1.1868,-3.8915,0.2800,0.2800
1.1968,-3.8915,0.2820,0.2820
1.2068,-3.8915,0.2800,0.2800
1.2168,-3.8915,0.2800,0.2800
1.2268,-3.8915,0.2800,0.2800
1.2368,-3.9015,0.2798,0.2798
1.2468,-3.9015,0.2800,0.2800
1.2568,-3.9015,0.2820,0.2820
1.2668,-3.9015,0.2839,0.2839
1.2768,-3.9015,0.2859,0.2859
1.2868,-3.9015,0.2839,0.2839
1.2968,-3.9015,0.2820,0.2820
1.3068,-3.9015,0.2800,0.2800
1.3168,-3.9015,0.2800,0.2800
1.3268,-3.9015,0.2800,0.2800
1.3368,-3.9015,0.2800,0.2800
1.3468,-3.9115,0.2897,0.2897
1.3568,-3.9115,0.2900,0.2900
1.3668,-3.9115,0.2900,0.2900
1.3768,-3.9115,0.2900,0.2900
1.3868,-3.9115,0.2900,0.2900
1.3968,-3.9115,0.2900,0.2900
1.4068,-3.9115,0.2900,0.2900
1.4168,-3.9115,0.2900,0.2900
1.4268,-3.9115,0.2900,0.2900
1.4368,-3.9115,0.2900,0.2900
1.4468,-3.9115,0.2900,0.2900
1.4568,-3.9115,0.2898,0.2898
1.4668,-3.9115,0.2879,0.2879
1.4768,-3.9115,0.2859,0.2859
1.4868,-3.9115,0.2839,0.2839
1.4968,-3.9115,0.2820,0.2820
1.5068,-3.9115,0.2800,0.2800
1.5168,-3.9115,0.2800,0.2800
1.5268,-3.9215,0.2900,0.2900
1.5368,-3.9215,0.2900,0.2900
1.5468,-3.9215,0.2900,0.2900
1.5568,-3.9215,0.2898,0.2898
1.5668,-3.9215,0.2879,0.2879
1.5768,-3.9315,0.2800,0.2800
1.5868,-3.9315,0.2800,0.2800
1.5968,-3.9315,0.2800,0.2800
1.6068,-3.9315,0.2820,0.2820
1.6168,-3.9315,0.2839,0.2839
1.6268,-3.9315,0.2859,0.2859
1.6368,-3.9315,0.2879,0.2879
1.6468,-3.9315,0.2898,0.2898
1.6568,-3.9315,0.2900,0.2900
1.6668,-3.9315,0.2900,0.2900
1.6768,-3.9315,0.2900,0.2900
1.6868,-3.9315,0.2900,0.2900
1.6968,-3.9315,0.2900,0.2900
1.7068,-3.9315,0.2900,0.2900
1.7168,-3.9315,0.2900,0.2900
1.7268,-3.9315,0.2900,0.2900
1.7368,-3.9315,0.2900,0.2900
1.7468,-3.9315,0.2900,0.2900
1.7568,-3.9315,0.2900,0.2900
1.7668,-3.9315,0.2898,0.2898
1.7768,-3.9315,0.2879,0.2879
1.7868,-3.9315,0.2859,0.2859
1.7968,-3.9315,0.2839,0.2839
1.8068,-3.9315,0.2820,0.2820
1.8168,-3.9315,0.2800,0.2800
1.8268,-3.9315,0.2800,0.2800
1.8368,-3.9315,0.2800,0.2800
1.8468,-3.9315,0.2800,0.2800
1.8568,-3.9315,0.2800,0.2800
1.8668,-3.9315,0.2800,0.2800
1.8768,-3.9315,0.2800,0.2800
1.8868,-3.9415,0.2900,0.2900
1.8968,-3.9415,0.2900,0.2900
1.9068,-3.9415,0.2900,0.2900
1.9168,-3.9415,0.2900,0.2900
1.9268,-3.9415,0.2900,0.2900
1.9368,-3.9415,0.2900,0.2900
1.9468,-3.9415,0.2900,0.2900
1.9568,-3.9415,0.2900,0.2900
1.9668,-3.9415,0.2900,0.2900
1.9768,-3.9415,0.2900,0.2900
1.9868,-3.9415,0.2900,0.2900
1.9968,-3.9415,0.2900,0.2900
2.0068,-3.9415,0.2900,0.2900
2.0168,-3.9415,0.2900,0.2900
2.0268,-3.9415,0.2900,0.2900
2.0368,-3.9415,0.2900,0.2900
2.0468,-3.9415,0.2900,0.2900
2.0568,-3.9415,0.2900,0.2900
2.0668,-3.9415,0.2900,0.2900
2.0768,-3.9415,0.2900,0.2900
2.0868,-3.9415,0.2900,0.2900
2.0968,-3.9415,0.2900,0.2900
2.1068,-3.9415,0.2900,0.2900
2.1168,-3.9415,0.2900,0.2900
2.1268,-3.9415,0.2900,0.2900
2.1368,-3.9415,0.2900,0.2900
2.1468,-3.9415,0.2900,0.2900
2.1568,-3.9415,0.2900,0.2900
2.1668,-3.9415,0.2900,0.2900
2.1768,-3.9415,0.2900,0.2900
2.1868,-3.9415,0.2900,0.2900
2.1968,-3.9415,0.2900,0.2900
2.2068,-3.9415,0.2920,0.2920
2.2168,-3.9415,0.2939,0.2939
2.2268,-3.9415,0.2959,0.2959
2.2368,-3.9515,0.3077,0.3077
2.2468,-3.9515,0.3097,0.3097
2.2568,-3.9515,0.3100,0.3100
2.2668,-3.9515,0.3100,0.3100
2.2768,-3.9515,0.3100,0.3100
2.2868,-3.9515,0.3100,0.3100
2.2968,-3.9515,0.3120,0.3120
2.3068,-3.9515,0.3139,0.3139
2.3168,-3.9515,0.3159,0.3159
2.3268,-3.9515,0.3159,0.3159
2.3368,-3.9515,0.3139,0.3139
2.3468,-3.9515,0.3120,0.3120
2.3568,-3.9515,0.3100,0.3100
2.3668,-3.9515,0.3100,0.3100
2.3768,-3.9515,0.3100,0.3100
