s,x,y,heading,curvature,track_width, acc
44.526501574838875,4.883030489616612,5.029129751884422,-3.076645350394051,0.791973209128747,2.44536870397859,0.0
44.60234370917858,4.807540959959841,5.021962538480172,-3.017544413388171,0.766412351840678,2.5763515572988767,0.0
44.67993071197914,4.730877316204356,5.0101066337746545,-2.95912382756204,0.7394593576933874,2.6954266884492406,0.0
44.75998553482028,4.652620487989946,4.993288233609174,-2.9010507445700213,0.7113584675946162,2.7985749508169775,0.0
44.84343745216662,4.572198036802971,4.97104648180202,-2.8429064890356193,0.6821317430693618,2.740959409231061,0.0
44.93168644978789,4.4886729305011075,4.942592460985595,-2.784062040705737,0.6514769058308373,2.7181693690091757,0.0
45.02539059926999,4.401927396060887,4.907183522522365,-2.7245292018195175,0.6191459716518849,2.740607562004033,0.0
45.12490739114372,4.312210315736469,4.8641432911431215,-2.6646216573809616,0.5846993747669086,2.784925299671971,0.0
45.2303494609648,4.220048572627384,4.81293631795926,-2.6049226775965884,0.547380725542077,2.852804275570399,0.0
45.34133933596631,4.126393453152918,4.753394438005508,-2.546431196687213,0.5061196455823341,2.93759444901896,0.0
45.45703003981431,4.032483647579248,4.685844887667864,-2.490520934265847,0.4597693176797719,3.035006922365366,0.0
45.576379092352134,3.9395003348593023,4.611036391768009,-2.438689104602058,0.40814811313049515,3.1323406242662775,0.0
45.6982814699754,3.8483937660685985,4.530050709602813,-2.39233032988004,0.3518506345285532,3.205658221016013,0.0
45.82137210207684,3.7600000594686165,4.444388752984604,-2.3526731339432017,0.29202640352195397,3.245117295357238,0.0
45.94408594108091,3.6749935835355068,4.355879424712021,-2.320612291089153,0.23014457502565022,3.268578582141268,0.0
46.06473457077054,3.5938872816912077,4.26654846918605,-2.2965936972526855,0.16776782028274814,3.3282684663147335,0.0
46.18163987527543,3.517042716893219,4.178433625190563,-2.280560660377379,0.10637648467458695,3.436449805167484,0.0
46.293328637063915,3.444664623841957,4.093356856575586,-2.2719784025196152,0.04724305285682148,3.553540933172125,0.0
46.398490550433465,3.376938177812164,4.012896235929408,-2.269943177760099,-0.00852450511797273,3.674821855389505,0.0
46.495887696298034,3.3141597615753136,3.9384232522112286,-2.2732799170666844,-0.059917424024669444,3.764405970959736,0.0
46.58431993742803,3.256795493214896,3.871116280221298,-2.2806228928876857,-0.10602667918548535,3.8211671383129513,0.0
46.66275445117123,3.205400221612533,3.8118645324056404,-2.2905190350226845,-0.14616023330206038,3.844042656892874,0.0
46.73057230213056,3.1604241401561577,3.761105335394585,-2.301584514968876,-0.18001006257177507,3.863518097190178,0.0
46.787943848599994,3.121899569601341,3.7185922603468406,-2.3127139756398507,-0.20782387073745923,3.879403483931212,0.0
46.87775336586515,3.060559045100991,3.65299571555907,-2.3332652845882245,-0.24938735671957882,3.891326790660126,0.0
