s,x,y,heading,curvature,track_width
4.9,4.9,0.0,0.0,0.0,3.499999999999897
4.95,4.95,0.0,0.0,0.0,3.4999999999998295
5.0,5.0,0.0,0.0,0.0,3.4999999999997193
5.050000000000001,5.050000000000001,0.0,0.0,0.0,3.4999999999995373
5.1000000000000005,5.1000000000000005,0.0,0.0,0.0,3.499999999999237
5.15,5.15,0.0,0.0,0.0,3.4999999999987415
5.2,5.2,0.0,0.0,0.0,3.4999999999979257
5.25,5.25,0.0,0.0,0.0,3.49999999999658
5.300000000000001,5.300000000000001,0.0,0.0,0.0,3.499999999994361
5.3500000000000005,5.3500000000000005,0.0,0.0,0.0,3.4999999999907034
5.4,5.4,0.0,0.0,0.0,3.4999999999846727
5.45,5.45,0.0,0.0,0.0,3.4999999999747295
5.5,5.5,0.0,0.0,0.0,3.499999999958336
5.550000000000001,5.550000000000001,0.0,0.0,0.0,3.499999999931308
5.6000000000000005,5.6000000000000005,0.0,0.0,0.0,3.4999999998867457
5.65,5.65,0.0,0.0,0.0,3.4999999998132756
5.7,5.7,0.0,0.0,0.0,3.4999999996921436
5.75,5.75,0.0,0.0,0.0,3.499999999492431
5.800000000000001,5.800000000000001,0.0,0.0,0.0,3.499999999163159
5.8500000000000005,5.8500000000000005,0.0,0.0,0.0,3.499999998620283
5.9,5.9,0.0,0.0,0.0,3.4999999977252316
5.95,5.95,0.0,0.0,0.0,3.4999999962495414
6.0,6.0,0.0,0.0,0.0,3.499999993816539
6.050000000000001,6.050000000000001,0.0,0.0,0.0,3.4999999898051963
6.1000000000000005,6.1000000000000005,0.0,0.0,0.0,3.4999999831916107
6.15,6.15,0.0,0.0,0.0,3.499999972287651
6.2,6.2,0.0,0.0,0.0,3.4999999543100615
6.25,6.25,0.0,0.0,0.0,3.499999924670027
6.300000000000001,6.300000000000001,0.0,0.0,0.0,3.4999998758018736
6.3500000000000005,6.3500000000000005,0.0,0.0,0.0,3.499999795231913
6.4,6.4,0.0,0.0,0.0,3.4999996623945138
6.45,6.45,0.0,0.0,0.0,3.4999994433826944
6.5,6.5,0.0,0.0,0.0,3.4999990822933196
6.550000000000001,6.550000000000001,0.0,0.0,0.0,3.4999984869577756
6.6000000000000005,6.6000000000000005,0.0,0.0,0.0,3.499997505415917
6.65,6.65,0.0,0.0,0.0,3.4999958871283794
6.7,6.7,0.0,0.0,0.0,3.499993219027106
6.75,6.75,0.0,0.0,0.0,3.4999888200821476
6.800000000000001,6.800000000000001,0.0,0.0,0.0,3.499981567476193
6.8500000000000005,6.8500000000000005,0.0,0.0,0.0,3.4999696100270574
6.9,6.9,0.0,0.0,0.0,3.4999498957344555
6.95,6.95,0.0,0.0,0.0,3.4999173929266565
7.0,7.0,0.0,0.0,0.0,3.4998638063938925
7.050000000000001,7.050000000000001,0.0,0.0,0.0,3.4997754613174683
7.1000000000000005,7.1000000000000005,0.0,0.0,0.0,3.4996298162720416
7.15,7.15,0.0,0.0,0.0,3.4993897190658343
7.2,7.2,0.0,0.0,0.0,3.4989939496086007
7.25,7.25,0.0,0.0,0.0,3.4983416640892293
7.300000000000001,7.300000000000001,0.0,0.0,0.0,3.497266846416798
7.3500000000000005,7.3500000000000005,0.0,0.0,0.0,3.495496453229789
7.4,7.4,0.0,0.0,0.0,3.4925821305300957
7.45,7.45,0.0,0.0,0.0,3.4877895868523114
7.5,7.5,0.0,0.0,0.0,3.4799214472271456
7.550000000000001,7.550000000000001,0.0,0.0,0.0,3.46703917210822
7.6000000000000005,7.6000000000000005,0.0,0.0,0.0,3.446041370113725
7.65,7.65,0.0,0.0,0.0,3.412063307745931
7.7,7.7,0.0,0.0,0.0,3.3577223804672993
7.75,7.75,0.0,0.0,0.0,3.272425459936269
7.800000000000001,7.800000000000001,0.0,0.0,0.0,3.1423912339336453
7.8500000000000005,7.8500000000000005,0.0,0.0,0.0,2.9527234285809287
7.9,7.9,0.0,0.0,0.0,2.693175735890012
7.95,7.95,0.0,0.0,0.0,2.3673779936055626
8.0,8.0,0.0,0.0,0.0,2.0
8.05,8.05,0.0,0.0,0.0,1.6326220063944312
8.1,8.1,0.0,0.0,0.0,1.3068242641099874
8.15,8.15,0.0,0.0,0.0,1.0472765714190673
8.200000000000001,8.200000000000001,0.0,0.0,0.0,0.8576087660663494
8.25,8.25,0.0,0.0,0.0,0.7275745400637307
8.3,8.3,0.0,0.0,0.0,0.6422776195326994
8.35,8.35,0.0,0.0,0.0,0.5879366922540692
8.4,8.4,0.0,0.0,0.0,0.5539586298862744
